FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_etablissement,adresse_etablissement,journee_ouverture,activite_categorie,geometry,agregation
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4548,Kara,Kozah,Kozah 1,Commune De Kara,Andjaoude,Auto-école la Connaissance,Nsp,Nsp,{Auto-école},POINT (1.2079083333333336 9.559028333333336),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4549,Kara,Kozah,Kozah 1,Commune De Kara,Zongo,Auto-école Agbeteo,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1858649999999993 9.545140000000002),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454a,Kara,Kozah,Kozah 1,Commune De Kara,Tomde,Auto-école la Bienvenue,Nsp,"{lundi,mercredi,jeudi,vendredi,dimanche,samedi,mardi}",{Auto-école},POINT (1.2051278936355518 9.556609215759348),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454b,Kara,Kozah,Kozah 1,Commune De Kara,Welade,Auto-école Pugnus Dei Welade,Nsp,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (1.1934021863481121 9.557288518275392),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454c,Kara,Kozah,Kozah 1,Commune De Kara,Patassoukome,Auto-école les Grands Patassoukomé,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1883199999999998 9.547373333333335),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454d,Kara,Kozah,Kozah 1,Commune De Kara,Ewaou,Auto-école Bon Courage Awaou,BP 292,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1973950000000002 9.545631666666665),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454e,Kara,Kozah,Kozah 1,Commune De Kara,Tomde,Auto-école le Sauveur Vient,BP 147,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.2026316666666665 9.551556666666666),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454f,Kara,Kozah,Kozah 1,Commune De Kara,Tchalode,Auto-école de la Kozah,Nsp,"{dimanche,samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (1.19315 9.568231666666666),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4550,Kara,Kozah,Kozah 1,Commune De Kara,Ewoou,Auto-école Sajer,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1914700000000003 9.548641666666667),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4551,Kara,Bassar,Bassar 1,Bassar,Nangbani,Auto-école la Satisfaction,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",{Auto-école},POINT (0.7856883333333328 9.272320000000002),Non agréée
